,company,rating,reviews,highlyRatedFor,jobs,salary
651,iOPEX Technologies,3.1,(1.6k),"Promotions, Company Culture, Work Satisfaction",29,6.3k
652,Supreme Industries,4.0,(1.6k),"Job Security, Work Life Balance, Work Satisfaction",--,5.9k
653,IndiaFirst Life Insurance,3.8,(1.6k),Salary,25,4k
654,Asahi India Glass,3.8,(1.6k),Job Security,5,5.5k
655,ZF Commercial Vehicle Control Systems,3.8,(1.6k),Promotions,4,3.8k
656,Emami,3.8,(1.6k),"Work Life Balance, Job Security",13,5.2k
657,Broadridge Financial Solutions,3.8,(1.6k),"Work Life Balance, Job Security",62,11.2k
658,Kotak Mahindra Prime,3.9,(1.6k),"Work Life Balance, Job Security",--,5.1k
659,Cemindia Projects,4.2,(1.6k),"Job Security, Company Culture, Salary",1,3.4k
660,Relaxo Footwear,4.0,(1.6k),"Work Life Balance, Job Security, Salary",27,4.6k
661,KFC,4.0,(1.6k),"Skill Development, Job Security, Company Culture",--,3k
662,Wockhardt,3.8,(1.6k),Work Life Balance,28,4.1k
663,Mercer,3.6,(1.6k),Job Security,--,10.1k
664,SHYAM METALICS AND ENERGY,3.4,(1.6k),"Promotions, Company Culture, Job Security",127,5k
665,PharmEasy,3.7,(1.6k),"Job Security, Promotions, Work Satisfaction",3,6.5k
666,Hinduja Leyland Finance,4.0,(1.6k),"Work Life Balance, Company Culture",5,3.1k
667,IFB,3.5,(1.6k),"Promotions, Company Culture, Work Satisfaction",21,5.4k
668,Lumax Industries,3.9,(1.6k),"Job Security, Skill Development",37,5.9k
669,Marriott International,4.1,(1.6k),"Job Security, Skill Development, Company Culture",1.5k,4.7k
670,Gujarat Fluorochemicals,3.9,(1.6k),"Job Security, Work Life Balance",11,6.8k
671,Amul India,4.0,(1.6k),"Job Security, Work Life Balance",8,4.3k
672,Muthoot Microfin,4.2,(1.6k),"Work Life Balance, Job Security, Skill Development",9,2.6k
673,Tata Consumer Products,3.5,(1.6k),"Promotions, Company Culture, Work Satisfaction",4,6k
674,Bisleri,4.2,(1.6k),"Work Life Balance, Job Security, Salary",19,4.5k
675,Bajaj Capital,3.5,(1.6k),"Job Security, Promotions, Work Satisfaction",107,3.9k
676,Patra India,3.5,(1.6k),Job Security,1,6.4k
677,Karur Vysya Bank,3.5,(1.6k),"Promotions, Work Satisfaction, Company Culture",17,5k
678,Honda,4.0,(1.6k),"Work Life Balance, Job Security, Company Culture",4,3.8k
679,Suguna Foods,3.9,(1.5k),Company Culture,23,4.1k
680,Steel Strips Wheels,3.7,(1.5k),"Company Culture, Work Satisfaction, Promotions",12,5.5k
681,Dainik Bhaskar Group,4.1,(1.5k),"Company Culture, Skill Development, Work Life Balance",85,4.3k
682,GE VERNOVA,4.1,(1.5k),"Company Culture, Work Life Balance, Work Satisfaction",274,5.7k
683,Evalueserve,3.0,(1.5k),"Promotions, Work Satisfaction, Salary",70,10.6k
684,Piramal Pharma,3.9,(1.5k),"Job Security, Company Culture, Work Life Balance",47,6.8k
685,Tesco,3.6,(1.5k),"Work Life Balance, Job Security",96,9.4k
686,Canara Bank,3.6,(1.5k),Job Security,--,4.1k
687,American Broadcasting Company,4.0,(1.5k),"Company Culture, Work Life Balance, Work Satisfaction",5,37.2k
688,XL Dynamics,3.6,(1.5k),Salary,21,3.5k
689,Sonata Software,3.4,(1.5k),"Promotions, Job Security, Salary",219,12k
690,Nayara Energy,4.2,(1.5k),"Salary, Work Life Balance, Company Culture",9,6k
691,SAI Life Sciences,3.9,(1.5k),Salary,63,6.2k
692,GMR Group,3.9,(1.5k),"Job Security, Work Life Balance, Company Culture",--,4.7k
693,Oracle Cerner,3.3,(1.5k),Work Life Balance,--,9.7k
694,Page Industries,4.1,(1.5k),"Job Security, Work Life Balance, Company Culture",4,5.1k
695,Tanishq,4.2,(1.5k),"Skill Development, Company Culture, Work Life Balance",2,3.1k
696,PNB Housing Finance,3.7,(1.5k),"Promotions, Company Culture, Work Life Balance",9,4.8k
697,QualityKiosk Technologies,3.2,(1.5k),"Promotions, Salary, Work Satisfaction",270,11.5k
698,Wheelseye Technology,3.4,(1.5k),"Job Security, Promotions, Company Culture",17,4k
699,V5 Global Services,3.9,(1.5k),Work Life Balance,8,3.8k
700,Ashoka Buildcon,4.1,(1.5k),"Company Culture, Work Life Balance, Work Satisfaction",7,4.2k
701,Devyani International,3.8,(1.5k),Skill Development,12,3.6k
702,Acuity Analytics,3.1,(1.5k),"Promotions, Skill Development, Salary",194,13.2k
703,Gland Pharma,4.0,(1.5k),"Work Life Balance, Job Security",11,5.9k
704,Airtel Payments Bank,3.8,(1.5k),Promotions,20,5.3k
705,Chetu,3.7,(1.5k),Skill Development,7,7.3k
706,Amneal Pharmaceuticals,4.2,(1.5k),"Work Life Balance, Job Security, Company Culture",57,6.4k
707,Heritage Foods,4.1,(1.5k),"Company Culture, Work Life Balance, Job Security",34,3.8k
708,HCL Infosystems,4.0,(1.5k),"Work Life Balance, Job Security, Company Culture",--,6.5k
709,Max Fashion,4.0,(1.5k),"Job Security, Skill Development, Company Culture",17,3.5k
710,Valeo,3.9,(1.5k),"Work Life Balance, Job Security, Company Culture",123,8.2k
711,SBFC Finance,3.8,(1.5k),Salary,54,2.9k
712,Daimler India Commercial Vehicles,3.9,(1.5k),"Work Life Balance, Job Security, Skill Development",--,6.8k
713,ALTEN,3.5,(1.5k),"Promotions, Skill Development, Work Satisfaction",60,8.7k
714,Happiest Minds Technologies,3.4,(1.5k),"Promotions, Salary, Work Satisfaction",592,12.9k
715,Indoco Remedies,3.4,(1.5k),"Promotions, Job Security, Company Culture",22,5.7k
716,Apco Infratech,3.8,(1.5k),Salary,12,4.4k
717,ISS Facility Services,4.0,(1.5k),"Work Life Balance, Company Culture, Job Security",12,4.2k
718,Honeywell Technology Solutions,3.6,(1.5k),"Promotions, Work Satisfaction, Skill Development",--,11.4k
719,Apexon,3.3,(1.5k),"Promotions, Job Security, Work Satisfaction",77,9.7k
720,Aon,3.8,(1.5k),"Work Life Balance, Job Security, Company Culture",52,6.6k
721,Altimetrik,3.5,(1.5k),"Job Security, Promotions, Work Satisfaction",242,12.8k
722,Chandigarh University,4.2,(1.5k),"Work Life Balance, Job Security, Skill Development",39,2.9k
723,Oberoi Group of Hotels,4.0,(1.5k),"Job Security, Skill Development, Company Culture",--,3.8k
724,Bharat Forge,3.7,(1.5k),"Promotions, Salary, Company Culture",6,6.5k
725,Aumovio,3.7,(1.5k),Work Life Balance,13,9.5k
726,Taurus BPO Services,4.0,(1.5k),"Company Culture, Work Life Balance, Work Satisfaction",2,994
727,Narayana Educational Society,3.6,(1.5k),"Promotions, Company Culture, Work Life Balance",13,4.1k
728,Jaquar,4.1,(1.5k),"Job Security, Work Life Balance, Company Culture",35,5.1k
729,NIIT,3.5,(1.5k),"Promotions, Salary, Work Satisfaction",21,6.1k
730,Hyatt Regency,4.0,(1.5k),"Job Security, Skill Development, Company Culture",1,3k
731,Morningstar,3.7,(1.5k),"Company Culture, Work Life Balance",53,10.5k
732,AB InBev India,3.3,(1.5k),"Promotions, Job Security, Company Culture",64,8k
733,CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,(1.5k),"Promotions, Company Culture, Work Satisfaction",--,5k
734,Indegene,3.3,(1.4k),"Promotions, Work Satisfaction, Skill Development",19,10k
735,Fusion Finance,3.9,(1.4k),"Company Culture, Work Life Balance, Salary",2,3.2k
736,VOIS,3.7,(1.4k),"Work Life Balance, Job Security",38,9k
737,Sony,4.2,(1.4k),"Company Culture, Work Life Balance, Work Satisfaction",9,4.6k
738,City Union Bank,2.9,(1.4k),"Promotions, Company Culture, Work Life Balance",3,6k
739,Amara Raja Energy & Mobility,4.0,(1.4k),"Job Security, Company Culture, Work Life Balance",36,4.3k
740,Nykaa,3.4,(1.4k),"Promotions, Company Culture, Work Satisfaction",9,7.1k
741,Agilus Diagnostics,4.1,(1.4k),"Work Life Balance, Company Culture, Work Satisfaction",8,3.3k
742,Tieto,4.1,(1.4k),"Work Life Balance, Company Culture, Work Satisfaction",26,9.5k
743,Aerial Telecom Solutions,4.2,(1.4k),"Company Culture, Work Life Balance, Work Satisfaction",17,2.4k
744,MedPlus,3.5,(1.4k),"Promotions, Company Culture, Work Satisfaction",33,4.4k
745,Acmegrade,3.9,(1.4k),"Company Culture, Work Satisfaction, Skill Development",1,298
746,Slk Software Services,3.2,(1.4k),"Promotions, Salary, Work Satisfaction",1,9.3k
747,Vfs Global Services,3.4,(1.4k),"Promotions, Salary, Company Culture",9,4.4k
748,Eaton,3.9,(1.4k),"Work Life Balance, Company Culture, Job Security",10,8.3k
749,TEKsystems,3.1,(1.4k),"Promotions, Job Security, Skill Development",18,11.4k
750,DCM Shriram,4.1,(1.4k),"Job Security, Work Life Balance, Salary",18,5k
751,Adobe,3.7,(1.4k),"Company Culture, Work Life Balance",251,13.5k
752,Hire In Global,4.9,(1.4k),"Company Culture, Work Life Balance, Work Satisfaction",--,8
753,AtkinsRealis,3.7,(1.4k),Work Life Balance,356,6.2k
754,TÜV SÜD,4.0,(1.4k),"Work Life Balance, Company Culture, Work Satisfaction",164,4k
755,Xiaomi,3.7,(1.4k),"Promotions, Job Security",7,5.6k
756,J. Kumar Infraprojects,4.1,(1.4k),"Work Life Balance, Job Security, Work Satisfaction",2,4.4k
757,Tenarai,3.5,(1.4k),"Promotions, Job Security, Salary",79,11.2k
758,VLCC,3.2,(1.4k),"Promotions, Company Culture, Work Life Balance",51,3.3k
759,Sansera Engineering,4.0,(1.4k),"Skill Development, Company Culture, Work Life Balance",2,5.7k
760,Kantar,3.5,(1.4k),"Promotions, Salary, Work Satisfaction",--,6.9k
761,EOSGlobe,3.0,(1.4k),"Promotions, Salary, Work Satisfaction",9,4k
762,Oracle Financial Services Software,3.2,(1.4k),"Promotions, Salary, Skill Development",--,10.6k
763,Unisys,3.4,(1.4k),"Promotions, Skill Development, Work Satisfaction",30,10.1k
764,Tata Group,4.2,(1.4k),"Job Security, Company Culture, Work Life Balance",--,5.7k
765,Citco,3.1,(1.4k),"Promotions, Company Culture, Work Life Balance",86,10.1k
766,FedEx Express,4.0,(1.4k),"Company Culture, Work Life Balance, Job Security",131,5.4k
767,The Muthoot Group,3.6,(1.4k),"Promotions, Work Satisfaction, Skill Development",--,3.6k
768,Worley,4.1,(1.4k),"Work Life Balance, Company Culture, Work Satisfaction",177,7.6k
769,Rashmi Metaliks,3.1,(1.4k),"Company Culture, Job Security, Promotions",3,4.9k
770,IDC Technologies,3.0,(1.4k),"Job Security, Promotions, Work Satisfaction",--,6.8k
771,JSW Cement,4.1,(1.4k),"Job Security, Company Culture, Work Life Balance",19,4.3k
772,Novo Nordisk,3.6,(1.4k),Work Life Balance,149,6.6k
773,R Systems International,3.7,(1.4k),"Promotions, Job Security",33,7.6k
774,Sunknowledge Services,3.4,(1.4k),Job Security,14,3.9k
775,iMerit,3.2,(1.4k),"Promotions, Salary, Skill Development",7,5.8k
776,Fino Payments Bank,3.8,(1.4k),"Promotions, Salary",27,4k
777,Troikaa Pharmaceuticals,4.1,(1.4k),"Salary, Work Life Balance, Skill Development",12,4k
778,Sharekhan,3.6,(1.4k),"Promotions, Salary, Work Satisfaction",53,5.2k
779,Amity University,3.6,(1.4k),Job Security,11,5.2k
780,Incedo,2.9,(1.4k),"Promotions, Work Satisfaction, Job Security",88,10.6k
781,TCS iON,3.8,(1.4k),Job Security,--,4.1k
782,Bajaj Housing Finance,3.5,(1.4k),"Work Life Balance, Work Satisfaction, Company Culture",47,5.9k
783,INDIUM,3.9,(1.4k),"Work Life Balance, Company Culture, Skill Development",115,7.1k
784,Paytm Payments Bank,3.8,(1.4k),Work Life Balance,--,5.6k
785,Aforeserve,3.4,(1.4k),"Promotions, Salary, Job Security",31,3.6k
786,Iffco Tokio General Insurance Co.,3.8,(1.4k),Job Security,--,4.1k
787,The Ramco Cements,4.1,(1.4k),"Job Security, Company Culture, Work Life Balance",--,4.4k
788,Faurecia,3.9,(1.4k),"Company Culture, Work Life Balance, Skill Development",10,6k
789,TE Connectivity,4.1,(1.4k),"Company Culture, Work Life Balance, Job Security",194,7.6k
790,Unichem Laboratories,3.7,(1.4k),Job Security,53,5.2k
791,Bharat FIH,3.7,(1.4k),"Promotions, Job Security, Salary",--,5.3k
792,Grant Thornton,3.4,(1.4k),"Promotions, Work Satisfaction, Work Life Balance",248,11.7k
793,Sheenlac Paints,4.1,(1.4k),"Salary, Work Life Balance, Company Culture",1,1.7k
794,Burger King,3.9,(1.4k),"Skill Development, Salary, Job Security",7,3.5k
795,Viraj Profiles,4.0,(1.4k),"Skill Development, Work Life Balance, Work Satisfaction",13,4.5k
796,Aptara,3.1,(1.4k),"Promotions, Salary, Skill Development",12,6.4k
797,FDC,3.7,(1.4k),"Promotions, Salary",29,3.8k
798,DEXIT Global,3.4,(1.4k),"Promotions, Salary, Job Security",4,5.6k
799,ZF Steering Gear,3.7,(1.4k),"Promotions, Work Satisfaction, Salary",11,7.5k
800,Brillio,3.4,(1.4k),"Promotions, Job Security, Work Satisfaction",65,10.8k
801,Hindware Limited,3.9,(1.3k),Work Life Balance,7,4.7k
802,CreditAccess Grameen,3.9,(1.4k),"Company Culture, Job Security, Skill Development",16,2.6k
803,Hatsun Agro Product,3.8,(1.3k),Skill Development,5,4.8k
804,CenturyPly,3.8,(1.3k),Salary,18,4.5k
805,GE,4.1,(1.3k),"Company Culture, Work Life Balance, Work Satisfaction",9,7.5k
806,GEP Worldwide,3.6,(1.3k),Company Culture,21,9.6k
807,Decathlon,3.7,(1.3k),"Job Security, Skill Development, Company Culture",1,4.4k
808,Collabera Talent Solutions,3.5,(1.3k),"Promotions, Job Security, Salary",5,6.9k
809,ManpowerGroup,3.6,(1.3k),"Promotions, Job Security, Skill Development",185,5.2k
810,RBL FinServe,3.9,(1.3k),"Salary, Skill Development",--,3.1k
811,NetAmbit,4.0,(1.3k),"Salary, Work Life Balance, Skill Development",2,3.1k
812,JioMart,3.9,(1.3k),"Company Culture, Work Life Balance, Skill Development",--,4.3k
813,Baroda Global Shared Services,3.9,(1.3k),Work Life Balance,35,3.1k
814,More Supermarket,3.6,(1.3k),"Job Security, Promotions, Company Culture",24,4.1k
815,Nippon Paint India,4.0,(1.3k),"Work Life Balance, Company Culture, Skill Development",2,4k
816,Punjab National Bank,3.8,(1.3k),Job Security,--,3k
817,VIBGYOR Group of Schools,3.5,(1.3k),"Promotions, Job Security, Company Culture",221,4.2k
818,Cinépolis,3.8,(1.3k),"Company Culture, Job Security",2,3k
819,Shubham Housing Development Finance,4.0,(1.3k),"Company Culture, Work Life Balance, Skill Development",5,3k
820,OM Logistics,3.9,(1.3k),"Job Security, Work Life Balance",4,4k
821,SK Finance Limited,3.8,(1.3k),Promotions,--,3.7k
822,Spicejet,3.3,(1.3k),"Promotions, Salary, Job Security",1,5.1k
823,NxtWave,3.5,(1.3k),"Promotions, Job Security, Work Life Balance",165,3.5k
824,Atul,3.9,(1.3k),"Job Security, Work Life Balance, Company Culture",1,5.2k
825,Big Bazaar,4.4,(1.3k),"Company Culture, Skill Development, Work Satisfaction",--,2.2k
826,Astral Pipe,4.0,(1.3k),"Work Life Balance, Job Security",100,4.3k
827,ICICI Prudential Mutual Fund,3.9,(1.3k),"Work Life Balance, Skill Development, Job Security",--,5.8k
828,Ion Exchange India,3.7,(1.3k),Job Security,51,5.3k
829,Mondelez International,4.1,(1.3k),"Salary, Company Culture, Skill Development",87,4.7k
830,Royal Migration Solutions,4.9,(1.3k),"Company Culture, Work Life Balance, Work Satisfaction",--,5
831,Globant,3.4,(1.3k),Work Life Balance,113,10.6k
832,Centre for Development of Advanced Computing,3.6,(1.3k),"Work Life Balance, Job Security",1,7k
833,Luminous Power Technologies,4.1,(1.3k),"Work Life Balance, Job Security, Company Culture",17,4.2k
834,Samsung Research,3.0,(1.3k),"Promotions, Work Satisfaction, Skill Development",1,9.9k
835,OpenText Technologies,3.3,(1.3k),"Job Security, Promotions, Work Satisfaction",15,12.3k
836,Fabindia,3.7,(1.3k),"Work Life Balance, Job Security",62,4.1k
837,Bluestock ™,4.5,(1.3k),"Company Culture, Work Life Balance, Work Satisfaction",--,63
838,Pantaloons,4.1,(1.3k),"Job Security, Company Culture, Skill Development",--,2.9k
839,Jakson Group,4.1,(1.3k),"Work Life Balance, Salary, Company Culture",19,4k
840,Jakson Group,4.1,(1.3k),"Work Life Balance, Salary, Company Culture",19,4k
841,Hindustan Construction Company,4.2,(1.3k),"Company Culture, Job Security, Skill Development",2,3.2k
842,T-Systems ICT India,3.7,(1.3k),Work Life Balance,21,9k
843,Apex Group,2.6,(1.3k),"Promotions, Job Security, Company Culture",380,8.5k
844,Spandana Sphoorty Financial,3.8,(1.3k),Salary,8,2.4k
845,Tenneco,3.6,(1.3k),"Promotions, Company Culture, Work Satisfaction",11,5.3k
846,Vestas,4.1,(1.3k),"Company Culture, Work Life Balance, Work Satisfaction",25,5.4k
847,ANZ Banking Group,3.7,(1.3k),"Work Life Balance, Company Culture",23,8.4k
848,Sigma Electric Manufacturing Corporation,4.0,(1.3k),"Company Culture, Work Life Balance, Job Security",20,2.8k
849,Godrej Consumer Products,4.0,(1.3k),"Work Life Balance, Company Culture, Job Security",--,4.9k
850,Panasonic,4.0,(1.3k),"Work Life Balance, Salary, Company Culture",16,4.8k
851,Fresenius Kabi,4.0,(1.3k),"Work Life Balance, Company Culture, Job Security",13,4.1k
852,Automotive Manufacturers,3.8,(1.3k),Promotions,60,5.2k
853,SKF,4.0,(1.3k),"Company Culture, Work Life Balance, Skill Development",46,4.6k
854,Electronics Corporation of India Limited,4.2,(1.3k),"Work Life Balance, Company Culture, Work Satisfaction",5,3.2k
855,H.G. Infra Engineering,4.0,(1.3k),"Salary, Skill Development, Company Culture",1,3.3k
856,AGS Transact Technologies,2.8,(1.3k),"Promotions, Salary, Job Security",--,3.8k
857,KIMS Hospital,3.7,(1.3k),"Promotions, Salary",7,3.8k
858,Intertek,3.8,(1.3k),"Promotions, Salary",69,4.1k
859,PNC Infratech,3.8,(1.3k),Promotions,--,3.5k
860,DP World,3.8,(1.3k),Salary,173,5.3k
861,Dassault Systemes,3.7,(1.3k),"Work Life Balance, Job Security, Company Culture",2,7.5k
862,Dell EMC,3.8,(1.3k),Work Life Balance,--,8.3k
863,Shriram Pistons & Rings,4.0,(1.3k),"Job Security, Company Culture, Work Life Balance",2,4.6k
864,Zoho,4.1,(1.3k),"Job Security, Company Culture, Work Life Balance",--,10.3k
865,iSON Xperiences,3.1,(1.3k),"Promotions, Salary, Company Culture",10,3.3k
866,Kalpataru Limited,4.1,(1.3k),"Job Security, Work Life Balance, Salary",25,4.6k
867,Mu Sigma,2.5,(1.3k),"Job Security, Work Life Balance, Company Culture",--,6.8k
868,Prodapt,3.5,(1.3k),"Promotions, Salary, Work Satisfaction",77,10k
869,AIIMS,4.2,(1.2k),"Skill Development, Work Satisfaction, Work Life Balance",--,4.7k
870,Synchrony,4.2,(1.2k),"Job Security, Company Culture, Work Life Balance",30,5.6k
871,Colliers India,3.9,(1.2k),"Work Life Balance, Salary",82,4.9k
872,Diageo,3.8,(1.2k),"Work Life Balance, Salary",37,6.4k
873,Oil And Natural Gas Corporation,4.4,(1.2k),"Work Life Balance, Company Culture, Work Satisfaction",--,3.1k
874,DLF,4.0,(1.2k),"Salary, Work Life Balance",--,5k
875,Nielsen,3.0,(1.2k),"Promotions, Job Security, Work Satisfaction",2,6.8k
876,Jindal X,3.5,(1.2k),"Job Security, Promotions, Work Satisfaction",7,2.8k
877,Parexel International,3.8,(1.2k),"Promotions, Skill Development, Salary",16,6.1k
878,Indostar Capital Finance Limited,4.3,(1.2k),"Company Culture, Work Life Balance, Work Satisfaction",1,2.1k
879,Rockman Industries,3.8,(1.2k),"Job Security, Skill Development",25,3.9k
880,Fidelity Investments,4.1,(1.2k),"Company Culture, Work Life Balance, Work Satisfaction",1,8.2k
881,Wind World,4.0,(1.2k),"Work Life Balance, Job Security, Work Satisfaction",2,3.3k
882,Rupeek,4.1,(1.2k),"Work Life Balance, Company Culture, Work Satisfaction",32,3.3k
883,ExcelR,3.6,(1.2k),"Promotions, Salary, Company Culture",24,1.1k
884,Qualcomm,3.7,(1.2k),Salary,25,15.3k
885,JTEKT,4.1,(1.2k),"Company Culture, Job Security, Skill Development",4,4.4k
886,Ahluwalia Contracts India,4.0,(1.2k),"Job Security, Salary, Work Life Balance",20,3.6k
887,Kirloskar Oil Engines,4.1,(1.2k),"Work Life Balance, Company Culture, Job Security",--,4.3k
888,DENSO,4.1,(1.2k),"Job Security, Company Culture, Work Life Balance",4,3.8k
889,EbixCash Limited,3.6,(1.2k),Work Life Balance,4,5.1k
890,Strides Pharma,3.9,(1.2k),"Skill Development, Salary",--,4.4k
891,JK Lakshmi Cement,3.7,(1.2k),"Job Security, Promotions",--,3.8k
892,Best Sellers,4.1,(1.2k),"Company Culture, Work Life Balance, Skill Development",1,3k
893,Innova Solutions,3.3,(1.2k),"Promotions, Job Security, Work Satisfaction",100,8.3k
894,Fidelity National Financial,3.7,(1.2k),Job Security,6,6.3k
895,ACG Worldwide,3.8,(1.2k),"Promotions, Work Satisfaction",44,3.9k
896,Genius HRTech,3.8,(1.2k),Work Life Balance,4,4k
897,Federal Bank,3.6,(1.2k),"Salary, Job Security",--,5.9k
898,Zetwerk,4.0,(1.2k),"Salary, Company Culture, Work Life Balance",41,4.2k
899,PHN Technology,4.2,(1.2k),"Company Culture, Work Life Balance, Skill Development",--,393
900,Leadec India,4.1,(1.2k),"Company Culture, Work Life Balance, Work Satisfaction",39,3.6k
901,Intel,4.1,(1.2k),"Work Life Balance, Company Culture, Work Satisfaction",75,9.3k
902,Baazar Retail Private Limited,4.5,(1.2k),"Company Culture, Work Life Balance, Job Security",3,1.5k
903,Sri Chaitanya Techno Schools,3.5,(1.2k),"Promotions, Salary, Company Culture",--,3.6k
904,Balkrishna Industries,4.0,(1.2k),"Job Security, Salary, Work Life Balance",--,4.3k
905,Schaeffler India,4.0,(1.2k),"Job Security, Work Life Balance, Company Culture",11,5.9k
906,Indira IVF Hospital,3.8,(1.2k),Promotions,75,3.1k
907,Thyrocare Technologies,3.7,(1.2k),Promotions,21,4.5k
908,Aptiv,3.4,(1.2k),"Promotions, Company Culture, Work Satisfaction",13,8.6k
909,HFCL Limited,3.8,(1.2k),Work Life Balance,2,4.1k
910,Meril,3.6,(1.2k),Job Security,15,5.1k
911,Salesforce,3.9,(1.2k),"Salary, Work Life Balance, Company Culture",346,14.9k
912,Prism Johnson,3.7,(1.2k),"Promotions, Company Culture, Work Satisfaction",19,4.5k
913,Electronica Finance,4.1,(1.2k),"Salary, Work Life Balance, Skill Development",20,2.7k
914,Aparna Constructions and Estates,3.9,(1.2k),"Job Security, Skill Development, Salary",53,4.1k
915,PayPal,3.7,(1.2k),"Salary, Work Life Balance, Company Culture",--,10.2k
916,FOCUS EDUMATICS,2.9,(1.2k),"Job Security, Promotions, Company Culture",--,3.1k
917,Birla Corporation,4.0,(1.2k),"Work Life Balance, Job Security, Company Culture",12,3.8k
918,Apollo Health and Lifestyle Limited,4.3,(1.2k),"Company Culture, Work Life Balance, Job Security",41,3.5k
919,London Stock Exchange Group,3.6,(1.2k),Work Life Balance,2,11.3k
920,Podar International School,4.0,(1.2k),"Company Culture, Job Security, Skill Development",1,3.2k
921,MDIndia Health Insurance TPA,3.6,(1.2k),"Promotions, Salary, Skill Development",35,3.8k
922,The Jaypee Group,3.8,(1.2k),"Job Security, Work Life Balance",11,3.4k
923,Johnson Lifts,3.9,(1.2k),"Job Security, Work Life Balance",8,3.7k
924,Imperial Auto Industries,3.8,(1.2k),"Promotions, Salary, Company Culture",11,4.9k
925,Barclays Shared Services,3.8,(1.2k),"Work Life Balance, Job Security",572,4.6k
926,IIFL Home Finance,3.8,(1.2k),Promotions,1.5k,3k
927,Ocwen Financial Solutions,3.8,(1.2k),"Company Culture, Work Life Balance",34,4.2k
928,Coca-Cola Company,4.0,(1.2k),"Skill Development, Work Life Balance, Salary",--,3.4k
929,Nilkamal,3.7,(1.2k),"Promotions, Skill Development, Work Satisfaction",35,3.7k
930,Dhoot Transmission,3.7,(1.2k),"Promotions, Salary, Work Life Balance",2,3.9k
931,Deccan Fine Chemicals,3.6,(1.2k),"Company Culture, Work Satisfaction, Promotions",6,5.2k
932,Motilal Oswal Home Finance,4.3,(1.2k),"Company Culture, Work Life Balance, Skill Development",--,1.5k
933,CaratLane - A Tata Product,4.0,(1.2k),"Skill Development, Company Culture, Job Security",11,3.1k
934,Biocon Biologics,3.7,(1.2k),"Promotions, Work Satisfaction, Salary",3,7k
935,Stanza Living,3.4,(1.2k),"Job Security, Promotions, Company Culture",15,3.6k
936,Dishtv,3.4,(1.2k),"Promotions, Job Security, Skill Development",16,3.3k
937,Bajaj Motors,3.9,(1.2k),"Work Life Balance, Skill Development, Company Culture",13,3.4k
938,Edelweiss Life Insurance,3.7,(1.1k),"Work Satisfaction, Promotions",26,3.7k
939,Kohler,3.6,(1.1k),"Promotions, Job Security, Work Satisfaction",6,5.2k
940,Kohler,3.6,(1.1k),"Promotions, Job Security, Work Satisfaction",6,5.2k
941,INDO-MIM,4.0,(1.1k),"Job Security, Work Life Balance",16,4.4k
942,Navitasys India,4.0,(1.1k),"Salary, Work Life Balance, Job Security",5,2.7k
943,Jacobs Engineering Group,4.2,(1.1k),"Company Culture, Work Life Balance, Work Satisfaction",5,5.4k
944,1Point1 Solutions Ltd,3.6,(1.1k),"Promotions, Salary",80,3.2k
945,Barbeque Nation,3.9,(1.1k),"Company Culture, Job Security, Skill Development",7,2.7k
946,Unicharm,3.9,(1.1k),Salary,2,2.9k
947,Jabil Circuit India,4.0,(1.1k),"Company Culture, Skill Development, Work Life Balance",68,4.4k
948,Piaggio,3.6,(1.1k),"Promotions, Job Security, Company Culture",47,3.8k
949,Advantmed,4.0,(1.1k),"Company Culture, Skill Development, Work Life Balance",18,2.8k
950,Onward Technologies Inc,2.8,(1.1k),"Job Security, Promotions, Skill Development",40,6.3k
951,Air India Sats Airport Services,3.6,(1.1k),"Promotions, Salary, Work Satisfaction",--,2.5k
952,Svatantra Microfin,3.9,(1.1k),"Company Culture, Job Security, Skill Development",10,2.2k
953,V2 Retail,3.3,(1.1k),"Job Security, Company Culture, Work Satisfaction",45,2.7k
954,Asirvad Microfinance,3.8,(1.1k),"Promotions, Salary",--,2.3k
955,Birla Opus,4.1,(1.1k),"Skill Development, Work Life Balance, Company Culture",--,2.8k
956,TÜV NORD,3.7,(1.1k),"Promotions, Company Culture, Job Security",361,4.1k
957,TK Elevator,3.8,(1.1k),Promotions,5,4.4k
958,Hyundai Mobis,3.7,(1.1k),"Salary, Job Security",9,5.2k
959,Zydus Wellness,4.1,(1.1k),"Salary, Company Culture, Work Life Balance",23,2.7k
960,Sundaram Finance,3.9,(1.1k),"Job Security, Company Culture, Work Life Balance",8,3k
961,MAHLE ANAND Filter Systems,3.9,(1.1k),"Job Security, Company Culture, Work Life Balance",--,3.6k
962,MG Motor,3.9,(1.1k),Promotions,25,4.9k
963,Wonder Home Finance,4.6,(1.1k),"Company Culture, Work Life Balance, Work Satisfaction",13,788
964,Innodata India Private Limited,3.7,(1.1k),"Work Life Balance, Salary",76,3.1k
965,ICON Plc,4.0,(1.1k),"Work Life Balance, Company Culture, Job Security",4,4.6k
966,Wistron,4.0,(1.1k),"Job Security, Company Culture, Work Life Balance",--,5.2k
967,Knorr-Bremse,3.2,(1.1k),"Promotions, Job Security, Work Satisfaction",8,5.2k
968,Hikal,3.8,(1.1k),"Job Security, Work Life Balance",8,4.7k
969,Godrej Agrovet,3.9,(1.1k),"Company Culture, Job Security",5,3.6k
